pid,question,response
425,notes,No
425,colorblind,No
425,feedback,
425,strategy,Tried to notice a pattern
425,instructions,No
558,notes,No
558,colorblind,No
558,feedback,None
558,strategy,I used the learning phase to create mental notes on which pairs were equal in terms of on-on and off-off and made the important mental note of which pair was opposite.
558,instructions,No
600,notes,No
600,colorblind,No
600,feedback,None
600,strategy,"I learnt a pattern in the learning phase where the lights were next to each other. In the testing phase , the timer messed up my brainpower and I just clicked random. Hoping some would be right.  In the testing phase, the lights were tested were not next to each other also..."
600,instructions,Instructions were clear...the timer made me panicky
261,notes,No
261,colorblind,No
261,feedback,
261,strategy,I thought colors that supported each other would be colors that go together on the color wheel
261,instructions,no
467,notes,No
467,colorblind,No
467,feedback,
467,strategy,I watched for the correct patterns through trial and error. 
467,instructions,No
340,notes,No
340,colorblind,No
340,feedback,
340,strategy,
340,instructions,
306,notes,No
306,colorblind,No
306,feedback,
306,strategy,"during the first part, I learned the relationships by trial and error.  During the second part, it moved too fast for me to think, so I largely just guessed, combined with a little bit of saying what I thought would happen if the relationships were the same as in the first part"
306,instructions,"I was a little perplexed about what was going on in the second part.  I think it said that the relationships between the lights weren't necessarily the same, but I wasn't sure."
366,notes,No
366,colorblind,No
366,feedback,N/A
366,strategy,"I tried to remember which pair matched and which didn't. Like if yellow and blue were always correlated and blue and purple were always correlated, then yellow and purple would also always be correctly"
366,instructions,Yes
390,notes,No
390,colorblind,No
390,feedback,N/A
390,strategy,"I looked at the position of the colors relative to where blue and yellow were. If one color was on one side blue and yellow, and the other other was on the other side, then one would be off and the other would be on. If the two colors were on the same side of blue and yellow then they would both be on or both be off."
390,instructions,No
407,notes,No
407,colorblind,No
407,feedback,
407,strategy,flying by the seat of my pants in the last part. In the other part I just learned which were supporting and which weren't
407,instructions,no
544,notes,No
544,colorblind,No
544,feedback,N/A
544,strategy,I tried to memorize the patterns in which lights were either on or off among pairs of colors.
544,instructions,No
583,notes,No
583,colorblind,No
583,feedback,
583,strategy,I am not sure what my strategy
583,instructions,The 2nd part was unclear
606,notes,No
606,colorblind,No
606,feedback,
606,strategy,I used relationships between colors to predict.
606,instructions,"no, it just took a while to learn"
435,notes,No
435,colorblind,No
435,feedback,N/A
435,strategy,"I made the connection between red, green, and yellow (if one is on they all should be on) and between blue and purple (one off, one on) and blue and yellow (one off, one on) and tried to extrapolate from there. I did make several mistakes during the timed rounds, however."
435,instructions,No
605,notes,No
605,colorblind,No
605,feedback,"the actual trial being under the time limit increased my anxiousness and was disoriented to some degree, did the graphics change slightly? The time constraint made a difference on my reactions!"
605,strategy,"in the training I was able to detect the relationships eventually, of flow of pattern either left or right and where the separation was(yellow)"
605,instructions,nope
329,notes,No
329,colorblind,No
329,feedback,repetitive
329,strategy,remembering
329,instructions,no
288,notes,No
288,colorblind,No
288,feedback,
288,strategy,"In the prediction phase, I never really was able to develop a strategy."
288,instructions,No
588,notes,No
588,colorblind,No
588,feedback,no problems
588,strategy,if red was on green and yellow were on purple and blue off and if purple blue were on the other colors were off
588,instructions,no
562,notes,No
562,colorblind,No
562,feedback,n/a
562,strategy,just tried to remember which lights effected one another
562,instructions,no
563,notes,No
563,colorblind,No
563,feedback,no problem occurred! 
563,strategy,"i really hope what i did was ok, i had no strategy i could not figure it out. i know there must have been some strategy i didnt see "
563,instructions,no not at all but i couldnt figure out how to tell what was compatible or incompatible. 
607,notes,No
607,colorblind,No
607,feedback,No problems encountered.
607,strategy,The first three lights always match each other. The last two lights are always the opposite.
607,instructions,No.
271,notes,No
271,colorblind,No
271,feedback,n/a
271,strategy,Everything matched up with each other except yellow and blue which were opposites.
271,instructions,No
517,notes,No
517,colorblind,No
517,feedback,No problems encountered
517,strategy,I observed that only yellow and green had an inhibitory relationship and paid attention to yellow and green during the trials
517,instructions,No
447,notes,No
447,colorblind,No
447,feedback,none thanks
447,strategy,"i just tried my best, no strategy"
447,instructions,nope
328,notes,No
328,colorblind,No
328,feedback,
328,strategy,The ones which were not matched up before left me completely stumped and I just made random selections
328,instructions,no
626,notes,No
626,colorblind,No
626,feedback,No problems as far as I'm aware.
626,strategy,"I panicked a bit in the beginning, but then I just did the same pattern as during the testing/exploration phase."
626,instructions,"It took a few read throughs to understand enough, but I wouldn't say it was unclear."
379,notes,No
379,colorblind,No
379,feedback,
379,strategy,Tried to remember which colors moved together and which didn't. With the timer I got a bit nervous.
379,instructions,no
542,notes,No
542,colorblind,No
542,feedback,Thanks.
542,strategy,I simply tried to remember the patterns and the colors that are linked to each other.
542,instructions,Nothing was unclear
377,notes,No
377,colorblind,No
377,feedback,Thank you.
377,strategy,In the practice I (think) I eventually saw a pattern of behavior and tried to apply it during the actual testing.
377,instructions,No.
295,notes,No
295,colorblind,No
295,feedback,No problems or feedback.
295,strategy,"I just tried to identify chains of support and breaks of inhibition. Yellow, blue, and purple were a chain of support. Red and green were a chain of support. Green and yellow were a break of inhibition. Even knowing that, however, I noticed that my mind got a little flustered on the timed inferences."
295,instructions,No.
317,notes,No
317,colorblind,No
317,feedback,None
317,strategy,I memorized which colors supported each other and which ones didnt and kept with that pattern. 
317,instructions,None
596,notes,No
596,colorblind,No
596,feedback,THE LAST SECTION WAS DEF DIFFICULT TO WORK THAT FAST
596,strategy,I JUST TRIED TO UNDERSTAND THE CONNECTION OF COLORS. YELLOW IS OPPOSITE
596,instructions,NO
557,notes,No
557,colorblind,No
557,feedback,everything went fine thank you
557,strategy,i just tried to learn the rhythms and follow my instincts
557,instructions,no they made sense
540,notes,No
540,colorblind,No
540,feedback,no
540,strategy,Memorization
540,instructions,Bo
599,notes,No
599,colorblind,No
599,feedback,Nothing aside from what I wrote above. Thanks!
599,strategy,"Well the first set I did my best to figure out the pattern. I discovered that they all matched in status except for green and yellow which were opposites so I input what matched that. But the second set I did, they weren't next to each other. I didn't know if it was a new pattern and had no time to figure out, so I did my best to just apply the old pattern to it. But with only 5 seconds it was hard to figure out in time so I'm sure I was wrong on most still."
599,instructions,The second set I'm not sure if I missed it but I was unsure if the second phase had the same pattern as the first phase.
396,notes,No
396,colorblind,No
396,feedback,"I wasn't sure if the switched pair in the learning phase applied to the following phase, and without any feedback about my answers, I really gave up trying to guess and just tried to beat the clock..."
396,strategy,no strategy
396,instructions,
365,notes,No
365,colorblind,No
365,feedback,n/a
365,strategy,i just tried to remember which color was inhibitory
365,instructions,no
299,notes,Yes
299,colorblind,No
299,feedback,i struggle with adhd so i had to take notes because it was making me upset to make the same mistake over and over even though i knew the correct answer. tbh total torture for neurodivergents.
299,strategy,i wrote down what that naughty yellow bulb is up to being off and affecting green's well being.
299,instructions,clear as day.
423,notes,No
423,colorblind,No
423,feedback,
423,strategy,I tried everything and learned from the questions I missed
423,instructions,Sort of- I had to figure out how it worked by myself and did not know what to expect because the instructions were vague
357,notes,No
357,colorblind,No
357,feedback,
357,strategy,"My strategy was trial and error until I figured out that they all connected except green and yellow, which were reversed. During the final part of the experiment I think I knew how to figure out whether a certain light would be on or off, but the timer was too short to go through the sequence the way I wanted to."
357,instructions,nothing unclear
348,notes,No
348,colorblind,No
348,feedback,none
348,strategy,just pattern
348,instructions,none
273,notes,No
273,colorblind,No
273,feedback,N/A
273,strategy,I noticed only yellow and green would change together. 
273,instructions,No
611,notes,No
611,colorblind,No
611,feedback,That was fun. Thanks!
611,strategy,"I tried memorizing for the learning phase, but the yellow light gave me problems figuring it out until the very end. I didn't have a strategy for the speed round phase because I only had 5 seconds to make a selection."
611,instructions,"No, the instructions were fine."
573,notes,No
573,colorblind,No
573,feedback,no
573,strategy,"if they weren't side by side and it was on i said off for the other, if it was off i said on for the other"
573,instructions,no
336,notes,No
336,colorblind,No
336,feedback,no problem but put  on time limit to answer limited process time
336,strategy,tried to use memory
336,instructions,no
551,notes,No
551,colorblind,Yes
551,feedback,better feedback on the prediction phase would be nice
551,strategy,process of elination on the first learning phase
551,instructions,not really
413,notes,No
413,colorblind,No
413,feedback,5 seconds is too fast
413,strategy,I tried to memorize as best I can the order of operation of the bulbs
413,instructions,Yes
312,notes,No
312,colorblind,No
312,feedback,
312,strategy,I split the bulbs into 3 groups
312,instructions,No
519,notes,No
519,colorblind,No
519,feedback,You need to give a few more seconds on the last part.  It was very hard to answer within 5 seconds.  
519,strategy,I just studied the answers I was getting and tried to react based on that.  
519,instructions,"No, but I had trouble at the end with the 5 seconds.  10 seconds would be more fair.  I could hardly even look at the options before it timed out so I felt like my answers were not very good. "
469,notes,No
469,colorblind,No
469,feedback,
469,strategy,"Take my time in the learning trial and see the patterns slowly, took a while but I eventually saw the patterns."
469,instructions,Not at all.
566,notes,No
566,colorblind,No
566,feedback,
566,strategy,I just went  with my gut instinct as quickly aas I could before the timer ran out
566,instructions,No
615,notes,Yes
615,colorblind,No
615,feedback,It was frustrating but fun.
615,strategy,At first I took notes because I would never see myself getting 32 answers in a row correct. Then I just mainly guessed because I did not have enough time to discover the pattern.
615,instructions,"No, they were not."
463,notes,No
463,colorblind,No
463,feedback,n/a
463,strategy,"In the study phase I was able to memorize what colors were the same or opposite, but there was no strategy in the experiment"
463,instructions,No
543,notes,No
543,colorblind,No
543,feedback,this was interesting 
543,strategy,I Tried to remember the colors that effected each other and guess whether the next color would have the opposite effect
543,instructions,no they were clear
393,notes,No
393,colorblind,No
393,feedback,n/a
393,strategy,"I tried to think of the relationship of the next closest bulb and how it might impact the other bulbs, but there wasn't really enough time to always do this correctly."
393,instructions,No
494,notes,No
494,colorblind,No
494,feedback,
494,strategy,"Attempting to develop a memory for the patterns initially. In the second set, half of it was random."
494,instructions,no
300,notes,No
300,colorblind,No
300,feedback,n/a
300,strategy,"I didn't really have one. Normally I would take notes, but we weren't allowed to. I just tried to rely on memory as much as I could."
300,instructions,n/a
256,notes,No
256,colorblind,No
256,feedback,n/a
256,strategy,memorization
256,instructions,no
577,notes,No
577,colorblind,No
577,feedback,I wish I had more time to choose during the experiment phase. 
577,strategy,"My strategy was to try and use what I learned during the practice phase, but it was super difficult because the time was going so quickly, and I got flustered, and was not able to think fast enough to get all the correct answers. "
577,instructions,No
333,notes,No
333,colorblind,No
333,feedback,Not enough time to answer.
333,strategy,"I learned the pattern, but five seconds was too quick to go through my recall, so I just guessed randomly after that."
333,instructions,No
246,notes,No
246,colorblind,No
246,feedback,"I felt nervous at the beginning of the prediction stage and panicked on many of the first questions, which led to me guessing on the first few instead of thinking calmly."
246,strategy,"I visually grouped lights into ones that tended to be on or off at the same time, and used the picture of all the lights to determine each light's relationship with each other."
246,instructions,No
621,notes,No
621,colorblind,No
621,feedback,No problems except my brain.
621,strategy,Tried to determine logic when lights were side by side as to which pairs were on when on right side and off on left. In quick session just tried to apply alternating on off to guess if light on right would be on or off.
621,instructions,No.
290,notes,No
290,colorblind,No
290,feedback,5 seconds is a very short period of time with the timer showing like that and I think it creates a sense of urgency.  In the trial I bet I was choosing in 5 or less seconds but once the timer came up I panicked.
290,strategy,I tried to remember the linking connections separated by the opposites.
290,instructions,No
516,notes,No
516,colorblind,No
516,feedback,this was very tricky and it was nerve racking
516,strategy,"i had a hard time trying to figure out the correct off and on buttons so i just did my best to remember which ones were the opposite, like green on then yellow off..."
516,instructions,no
252,notes,No
252,colorblind,No
252,feedback,
252,strategy,"If green and yellow was off, the other bulbs seemed to always be on from what I learned."
252,instructions,Everything was clear.
610,notes,No
610,colorblind,No
610,feedback,n/a
610,strategy,"once I memorized how each light affected which, I went up or down the row naming off/on until I got to the second bulb of the question"
610,instructions,no
568,notes,No
568,colorblind,No
568,feedback,
568,strategy,"Remember the pattern next to each other, then work through them when they start splitting apart."
568,instructions,no
372,notes,No
372,colorblind,No
