observed_var,observed_val,query_var,distance,true_prob,markovian_scaff_gen_layer_0,markovian_scaff_gen_layer_1,markovian_scaff_gen_layer_2,markovian_scaff_gen_layer_3,markovian_scaff_gen_layer_4,markovian_scaff_gen_layer_5,markovian_scaff_gen_layer_6,markovian_scaff_gen_layer_7,markovian_scaff_gen_layer_8
A,0,B,1,0.0,0.504949152469635,0.4794972240924835,0.4599440097808838,0.34660178422927856,0.2884290814399719,0.1983797699213028,0.1670624017715454,0.157570019364357,0.003912905231118202
A,1,B,1,1.0,0.504949152469635,0.5290328860282898,0.5632976293563843,0.6413204669952393,0.7168083786964417,0.7772496342658997,0.8052240014076233,0.8159956932067871,0.9933364391326904
A,0,C,2,0.0,0.504949152469635,0.5051547884941101,0.5158356547355651,0.3997403264045715,0.3343802660703659,0.4801928922533989,0.5447356820106506,0.30064250230789186,0.009122461080551147
A,1,C,2,1.0,0.504949152469635,0.5095285534858703,0.49733455777168273,0.48120248317718506,0.6088255703449249,0.5343827307224274,0.7263104051351548,0.6770736753940583,0.9817381501197815
A,0,D,3,1.0,0.504949152469635,0.505392798781395,0.5058726698160172,0.5247657418251037,0.5256529808044433,0.6154159367084503,0.601425951719284,0.6060791403055191,0.9142685532569885
A,1,D,3,0.0,0.504949152469635,0.505392798781395,0.49604760110378265,0.5247657418251037,0.5007732659578323,0.516876146197319,0.4230798244476318,0.4198943614959717,0.1748138964176178
A,0,E,4,1.0,0.504949152469635,0.4927937984466553,0.49391710162162783,0.4861568659543991,0.4533618211746216,0.47589851915836334,0.5354331374168396,0.5403610050678254,0.8882287428714335
A,1,E,4,0.0,0.504949152469635,0.4927937984466553,0.5104775190353393,0.43764170706272126,0.41681679487228396,0.5281292080879212,0.5937126308679581,0.41915678679943086,0.10309894615784287
B,0,A,1,0.0,0.504949152469635,0.4822773039340973,0.4565747082233429,0.3495965600013733,0.301811546087265,0.21260486543178558,0.18302589654922485,0.17539453506469727,0.007372348569333553
B,1,A,1,1.0,0.504949152469635,0.5310196280479431,0.5663854479789734,0.6391791701316833,0.7123557925224304,0.7771397233009338,0.8100139498710632,0.8238591551780701,0.989566445350647
B,0,C,1,0.0,0.504949152469635,0.48328596353530884,0.46033236384391785,0.34543222188949585,0.2951737940311432,0.20924369990825653,0.18158623576164246,0.17516544461250305,0.009122461080551147
B,1,C,1,1.0,0.504949152469635,0.5270236134529114,0.5528378486633301,0.6169727444648743,0.6872385144233704,0.7511420845985413,0.7868353128433228,0.802550733089447,0.9817381501197815
B,0,D,2,1.0,0.504949152469635,0.4817628562450409,0.4911350667476654,0.5385316699743271,0.5505326956510543,0.5825693398714066,0.6727644026279449,0.6060791403055191,0.9142685532569885
B,1,D,2,0.0,0.504949152469635,0.49864138662815094,0.5009601354598999,0.5109998136758804,0.4261341214179993,0.41833635568618777,0.35174137353897095,0.3826574057340622,0.1748138964176178
B,0,E,3,1.0,0.504949152469635,0.5046105831861496,0.5104775190353393,0.4861568659543991,0.5264518737792969,0.47589851915836334,0.5937126308679581,0.4797588959336281,0.9863699674606323
B,1,E,3,0.0,0.504949152469635,0.5046105831861496,0.5104775190353393,0.5589296042919158,0.48990684747695923,0.5281292080879212,0.3023151636123657,0.4797588959336281,0.2012401707470417
C,0,A,2,0.0,0.504949152469635,0.5163969308137893,0.5224611520767212,0.4654296040534973,0.4249748200178146,0.38196532279253004,0.3084235072135925,0.3699339210987091,0.007372348569333553
C,1,A,2,1.0,0.504949152469635,0.49202576875686643,0.5224611520767212,0.4654296040534973,0.5891925185918808,0.6077792659401894,0.6846163392066955,0.7590126931667328,0.8913470356725156
C,0,B,1,0.0,0.504949152469635,0.4814909100532532,0.45611923933029175,0.3417602479457855,0.2838743031024933,0.19576400518417358,0.16625778377056122,0.1576034426689148,0.005334711633622646
C,1,B,1,1.0,0.504949152469635,0.5225673913955688,0.5404272079467773,0.6076619029045105,0.6819064021110535,0.7469265460968018,0.7798160314559937,0.7911534309387207,0.9824205636978149
C,0,D,1,1.0,0.504949152469635,0.4817628562450409,0.4714849293231964,0.5798294544219971,0.6251718401908875,0.6811091303825378,0.7084336280822754,0.7177900075912476,0.9142685532569885
C,1,D,1,0.0,0.504949152469635,0.515519917011261,0.5206102728843689,0.4421701729297638,0.3763746917247772,0.3526431620121002,0.35174137353897095,0.3454204499721527,0.1748138964176178
C,0,E,2,1.0,0.504949152469635,0.5085495114326477,0.5021973103284836,0.5104144454002381,0.5629969000816345,0.5803598970174789,0.6519921243190765,0.722167332470417,0.8882287428714335
C,1,E,2,0.0,0.504949152469635,0.5085495114326477,0.5187577277421951,0.46189928650856016,0.4533618211746216,0.26697576344013213,0.47715364396572113,0.41915678679943086,0.004957721568644047
D,0,A,3,1.0,0.504949152469635,0.5115226984024048,0.4565747082233429,0.4364713430404663,0.5891925185918808,0.4948722943663597,0.49651992321014404,0.3699339210987091,0.989566445350647
D,1,A,3,0.0,0.504949152469635,0.49202576875686643,0.5224611520767212,0.5233461260795593,0.3839203953742981,0.32551183700561526,0.4338211178779602,0.5644733071327209,0.4002499872818589
D,0,B,2,1.0,0.504949152469635,0.4979215025901794,0.5067040205001831,0.5013012409210205,0.5624967724084854,0.47134527564048767,0.5957485571503639,0.6644434332847595,0.6892948080785573
D,1,B,2,0.0,0.504949152469635,0.4938138544559479,0.489842426776886,0.4481209099292755,0.5226935625076294,0.36111276745796206,0.35032525807619097,0.47437843680381775,0.2007518820464611
D,0,C,1,1.0,0.504949152469635,0.4827641546726227,0.47493574023246765,0.5729277729988098,0.610008955001831,0.6732494831085205,0.6987751126289368,0.7111451029777527,0.9101116061210632
D,1,C,1,0.0,0.504949152469635,0.5164941549301147,0.5187146663665771,0.4366776645183563,0.3672274649143219,0.3468337655067444,0.3497539460659027,0.34594592452049255,0.17913657426834106
D,0,E,1,0.0,0.504949152469635,0.48491594195365906,0.4607962667942047,0.36486896872520447,0.307181715965271,0.21474507451057434,0.18575617671012878,0.1767483502626419,0.004957721568644047
D,1,E,1,1.0,0.504949152469635,0.5243052244186401,0.5435983538627625,0.6074447631835938,0.6726319789886475,0.7370519638061523,0.7685511112213135,0.7827694416046143,0.9863699674606323
E,0,A,4,1.0,0.504949152469635,0.5066484659910202,0.5114800781011581,0.5233461260795593,0.5481380939483642,0.5513257801532745,0.49651992321014404,0.5644733071327209,0.7931276259943842
E,1,A,4,0.0,0.504949152469635,0.5163969308137893,0.5114800781011581,0.5812626481056213,0.5481380939483642,0.32551183700561526,0.4338211178779602,0.5644733071327209,0.3020305776037276
E,0,B,3,1.0,0.504949152469635,0.4938138544559479,0.489842426776886,0.39494057893753054,0.6022999823093415,0.5815777838230133,0.5957485571503639,0.6010884344577789,0.7870033932849765
E,1,B,3,0.0,0.504949152469635,0.4979215025901794,0.5067040205001831,0.421530744433403,0.4828903526067734,0.5264615297317505,0.35032525807619097,0.284313440322876,0.10304329684004188
E,0,C,2,1.0,0.504949152469635,0.48951015472412107,0.4880694180727005,0.5184277296066284,0.5857308059930801,0.6079663395881653,0.6638729959726334,0.5285455137491226,0.9101116061210632
E,1,C,2,0.0,0.504949152469635,0.5063751548528671,0.5055809885263443,0.5184277296066284,0.44006191194057465,0.4774000525474548,0.4544602960348129,0.34594592452049255,0.17913657426834106
E,0,D,1,0.0,0.504949152469635,0.4865832030773163,0.4646923840045929,0.37060797214508057,0.32484346628189087,0.2308627963066101,0.2005496323108673,0.19119805097579956,0.009291620925068855
E,1,D,1,1.0,0.504949152469635,0.5261818170547485,0.5544041991233826,0.6310304403305054,0.702444314956665,0.7589884996414185,0.7963089942932129,0.8059354424476624,0.9839508533477783
